,k/d,assists
1227,10.9,0.203
1228,7.8,0.17
1229,11.2,0.362
1230,14,0.23
1231,17.8,0.215
1232,10.8,0.184
1233,14,0.2
1234,13.8,0.223
1235,19.8,0.318
1236,17.4,0.216
1237,13.1,0.259
1238,16.7,0.224
1239,26.1,0.188
1240,14.4,0.13
1241,22.5,0.211
1242,13.8,0.207
1243,17.1,0.254
1244,16.9,0.254
1245,25.3,0.203
1246,14.1,0.235
1247,10.5,0.27
1248,15.5,0.256
1249,14.3,0.274
1250,17.4,0.267
1251,14.2,0.231
1252,14.4,0.264
1253,9.6,0.248
1254,16.3,0.23
1255,18.1,0.304
1256,16.6,0.252
1257,18.5,0.242
1258,19.8,0.203
1259,14.6,0.169
1260,11.1,0.195
1261,17.3,0.266
1262,11,0.209
1263,22.8,0.212
1264,12.9,0.232
1265,15.8,0.238
1266,11.6,0.208
1267,12.5,0.249
1268,17.6,0.191
1269,14,0.293
1270,20.3,0.233
1271,13.9,0.193
1272,13.8,0.209
1273,16,0.156
1274,15.1,0.166
1275,19.1,0.2
1276,20.4,0.248
1277,17.8,0.22
1278,21,0.218
1279,9.8,0.236
1280,17,0.213
1281,14.3,0.254
1282,19.5,0.25
1283,16,0.251
1284,11.4,0.252
1285,14.9,0.195
1286,21.7,0.218
1287,16.5,0.193
1288,11.3,0.221
1289,22.3,0.208
1290,14.6,0.212
1291,24.7,0.221
1292,15.4,0.198
1293,17.5,0.27
1294,21.6,0.19
1295,19.9,0.182
1296,20.9,0.22
1297,14.2,0.247
1298,5.6,0.204
1299,12.6,0.355
1300,23,0.164
1301,25.4,0.238
1302,23.1,0.348
1303,13.7,0.194
1304,11.9,0.25
1305,18.8,0.331
1306,24.6,0.209
1307,12.4,0.134
1308,10.1,0.254
1309,16,0.187
1310,21.4,0.278
1311,22.7,0.204
1312,19.2,0.161
1313,21.8,0.205
1314,21.3,0.272
1315,16.3,0.07
1316,12.9,0.239
1317,20,0.26
1318,11.8,0.182
1319,18,0.206
1320,15.9,0.217
1321,14.2,0.211
1322,14.7,0.224
1323,18.4,0.235
1324,22,0.181
1325,13.3,0.183
1326,11.2,0.22
1327,15.7,0.105
1328,21.3,0.186
1329,14.4,0.215
1330,9.2,0.224
1331,8.7,0.032
1332,9.2,0.178
1333,18.2,0.183
1334,12.1,0.191
1335,11.9,0.326
1336,11.5,0.227
1337,15.9,0.234
1338,20.4,0.22
1339,15.5,0.282
1340,16.5,0.236
1341,17.2,0.172
1342,14.8,0.221
1343,12.9,0.154
1344,23.4,0.237
1345,19.8,0.178
1346,18.6,0.241
1347,13.9,0.227
1348,14.1,0.212
1349,14.7,0.293
1350,18.8,0.226
1351,10.7,0.228
1352,18.7,0.249
1353,8.8,0.199
1354,11.7,0.169
1355,23,0.198
1356,8.8,0.182
1357,11.5,0.189
1358,13.3,0.256
1359,8.8,0.151
1360,9.1,0.188
1361,13,0.25
1362,12.6,0.205
1363,11.4,0.163
1364,8.9,0.18
1365,14.9,0.179
1366,6.4,0.215
1367,15.8,0.148
1368,26.1,0.189
1369,22,0.247
1370,15.5,0.223
1371,15.5,0.056
1372,16,0.259
1373,20.3,0.234
1374,17.1,0.227
1375,16.3,0.212
1376,11.8,0.214
1377,11.4,0.196
1378,19.9,0.215
1379,15.8,0.246
1380,10.2,0.153
1381,19.4,0.258
1382,9.8,0.253
1383,14.6,0.188
1384,13.6,0.225
1385,14.9,0.268
1386,11.5,0.217
1387,21.6,0.292
1388,15.9,0.252
1389,12.6,0.255
1390,11.7,0.206
1391,20.7,0.12
1392,16.7,0.254
1393,13.8,0.206
1394,19.5,0.247
1395,19.1,0.275
1396,12.8,0.323
1397,16.5,0.199
1398,12.1,0.22
1399,18.3,0.197
1400,13.6,0.214
1401,22.1,0.226
1402,14.7,0.215
1403,14.9,0.086
1404,15.9,0.252
1405,21.8,0.252
1406,17.8,0.205
1407,17.5,0.193
1408,11.8,0.201
1409,12.1,0.175
1410,21.2,0.324
1411,15.2,0.291
1412,13.2,0.241
1413,21.2,0.27
1414,17.7,0.251
1415,13.2,0.232
1416,13.4,0.264
1417,13.2,0.233
1418,9.7,0.214
1419,18.8,0.238
1420,15.2,0.179
1421,16.3,0.227
1422,13.7,0.178
1423,16.3,0.11
1424,23.7,0.205
1425,19.6,0.237
1426,18.1,0.216
1427,15.1,0.242
1428,10.8,0.195
1429,23.8,0.161
1430,12.1,0.203
1431,14.7,0.182
1432,18.9,0.247
1433,15,0.155
1434,18.6,0.23
1435,13.1,0.212
1436,14.1,0.217
1437,21.5,0.204
1438,16.4,0.186
1439,10.9,0.249
1440,11.9,0.272
1441,15.9,0.149
1442,7.8,0.183
1443,6.9,0.167
1444,19.7,0.138
1445,16.7,0.176
1446,18.7,0.217
1447,15.7,0.248
1448,16.1,0.228
1449,12.8,0.245
1450,22.3,0.248
1451,22.2,0.124
1452,12.5,0.152
1453,19.1,0.152
1454,12.9,0.132
1455,17.7,0.199
1456,16.7,0.207
1457,19.7,0.169
1458,16.9,0.207
1459,19.8,0.23
1460,21.9,0.183
1461,19.6,0.153
1462,21.9,0.228
1463,17.5,0.197
1464,39.1,0.142
1465,24.2,0.275
1466,17.1,0.192
1467,21.8,0.152
1468,15.8,0.188
1469,17.6,0.254
1470,15.3,0.169
1471,20.3,0.267
1472,24.4,0.234
1473,21.1,0.183
1474,23.8,0.198
1475,20.6,0.195
1476,13.5,0.172
1477,19.1,0.268
1478,20.7,0.247
1479,12.3,0.218
1480,18.6,0.2
1481,20.6,0.158
1482,14.6,0.106
1483,14.6,0.215
1484,12,0.301
1485,15.2,0.204
1486,19.1,0.174
1487,20.2,0.17
1488,15.3,0.258
1489,18.5,0.238
1490,21.3,0.154
1491,11.8,0.217
1492,12.5,0.237
1493,12.6,0.347
1494,15.2,0.225
1495,15.8,0.16
1496,21.6,0.128
1497,13.4,0.243
1498,10.5,0.221
1499,14,0.19
1500,12.8,0.199
1501,13.3,0.252
1502,11.4,0.233
1503,16,0.263
1504,12.9,0.23
1505,13.5,0.222
1506,20.3,0.273
1507,13.6,0.217
1508,13.5,0.241
1509,13.3,0.259
1510,13.6,0.218
1511,14.2,0.208
1512,11.7,0.203
1513,22.8,0.206
1514,12.9,0.176
1515,16.8,0.228
1516,18.7,0.226
1517,13.7,0.215
1518,15.9,0.255
1519,16.8,0.221
1520,17.7,0.217
1521,17.1,0.217
1522,21.9,0.241
1523,19.2,0.245
1524,11.8,0.249
1525,16.1,0.242
1526,20.1,0.238
1527,13.2,0.201
1528,12.2,0.207
1529,15.4,0.225
1530,19.7,0.223
1531,13.7,0.184
1532,15,0.26
1533,15.1,0.253
1534,11.2,0.211
1535,15.6,0.104
1536,22.8,0.217
1537,18.1,0.19
1538,17.2,0.204
1539,15.2,0.198
1540,14.5,0.242
1541,14.2,0.239
1542,24.7,0.297
1543,13.4,0.225
1544,18.7,0.245
1545,15.4,0.237
1546,21.9,0.239
1547,15.2,0.216
1548,11,0.189
1549,11.7,0.217
1550,12.8,0.234
1551,11.1,0.11
1552,16.6,0.139
1553,13.6,0.236
1554,21.4,0.147
1555,9.9,0.227
1556,13.6,0.246
1557,13,0.235
1558,21.4,0.203
1559,10.4,0.184
1560,11.3,0.209
1561,14.6,0.189
1562,14.4,0.204
1563,8.8,0.21
1564,10.3,0.264
1565,11.1,0.233
1566,11.7,0.232
1567,11.4,0.119
1568,16.4,0.234
1569,11.9,0.198
1570,14.4,0.208
1571,12.1,0.221
1572,14.7,0.241
1573,15.2,0.283
1574,17.5,0.247
1575,14.2,0.193
1576,11.8,0.253
1577,17,0.187
1578,20.1,0.2
1579,14.3,0.2
1580,14.9,0.179
1581,17.2,0.194
1582,11.1,0.174
1583,18.8,0.285
1584,19,0.184
1585,23.4,0.255
1586,14.7,0.171
1587,17.2,0.138
1588,13.4,0.218
1589,14,0.224
1590,20.8,0.2
1591,22.3,0.324
1592,19.4,0.283
1593,13.8,0.098
1594,17.9,0.256
1595,20.1,0.274
1596,12.2,0.232
1597,15.5,0.211
1598,10,0.262
1599,30.8,0.175
1600,6.9,0.213
1601,11.6,0.164
1602,26.1,0.142
1603,11,0.258
1604,9.4,0.201
1605,10.5,0.228
1606,17.4,0.148
1607,18.2,0.264
1608,14.6,0.261
1609,13.7,0.196
1610,13,0.243
1611,11.9,0.254
1612,11.8,0.242
1613,10.7,0.223
1614,12.3,0.246
1615,15.9,0.259
1616,12.8,0.23
1617,13.9,0.262
1618,13.1,0.212
1619,13.1,0.218
1620,10.9,0.222
1621,12.4,0.218
1622,13.4,0.251
1623,11.3,0.247
1624,15,0.281
1625,14.7,0.187
1626,21.5,0.295
1627,13.7,0.267
1628,14.2,0.226
1629,13.6,0.293
1630,12.1,0.191
1631,16.5,0.237
1632,11.7,0.188
1633,18.4,0.216
1634,17.9,0.207
1635,18.9,0.224
1636,14.9,0.195
1637,14.7,0.207
1638,21,0.208
1639,15.3,0.251
1640,25.8,0.268
1641,20,0.179
1642,15.4,0.199
1643,17.8,0.222
1644,15.6,0.185
1645,22.2,0.228
1646,12.8,0.218
1647,24.3,0.169
1648,15.5,0.248
1649,12.7,0.221
1650,19.6,0.212
1651,18.1,0.224
1652,20.8,0.171
1653,20.4,0.249
1654,17,0.214
1655,12.2,0.235
1656,18.1,0.203
1657,11.2,0.154
1658,17.7,0.128
1659,36.8,0.212
1660,15.2,0.283
1661,19.6,0.209
1662,4.9,0.148
1663,21.1,0.254
1664,11.4,0.259
1665,10.7,0.182
1666,22.5,0.244
1667,11.5,0.175
1668,16.9,0.15
1669,8.6,0.207
1670,16.1,0.233
1671,12.3,0.186
1672,16.2,0.241
1673,15,0.218
1674,12.7,0.205
1675,14.3,0.245
1676,17.2,0.216
1677,13.1,0.241
1678,12.7,0.276
1679,18.6,0.213
1680,11.7,0.285
1681,15.3,0.271
1682,11.9,0.238
1683,11.1,0.251
1684,17.2,0.234
1685,10,0.21
1686,17.8,0.235
1687,11.6,0.237
1688,11.9,0.205
1689,21.1,0.187
1690,17.5,0.154
1691,14.8,0.256
1692,17.6,0.193
1693,16.4,0.243
1694,14.3,0.244
1695,22.4,0.194
1696,14.5,0.234
1697,15.5,0.255
1698,16.1,0.216
1699,14.2,0.215
1700,18,0.196
1701,14.9,0.285
1702,20.6,0.243
1703,14.6,0.199
1704,14.5,0.195
1705,16.8,0.22
1706,17.3,0.195
1707,9.7,0.256
1708,13.9,0.201
1709,17.2,0.173
1710,13.1,0.149
1711,11.5,0.17
1712,14.3,0.25
1713,26.8,0.295
1714,18.2,0.264
1715,9,0.16
1716,12.6,0.284
1717,13.9,0.263
1718,13.1,0.131
1719,15.4,0.09
1720,13,0.28
1721,13.6,0.242
1722,16.2,0.193
1723,13.9,0.228
1724,13.1,0.206
1725,13.7,0.244
1726,13.6,0.243
1727,12.9,0.204
1728,20,0.185
1729,16.6,0.231
1730,16.1,0.222
1731,14.5,0.222
1732,12.7,0.249
1733,13.1,0.225
1734,14.5,0.152
1735,14.1,0.2
1736,15,0.26
1737,19.5,0.168
1738,13.4,0.123
1739,19.4,0.124
1740,12,0.156
1741,16.1,0.27
1742,19.3,0.168
1743,15.7,0.212
1744,18.3,0.169
1745,13.5,0.171
1746,14.5,0.254
1747,13.5,0.194
1748,19.3,0.199
1749,14.2,0.263
1750,15.6,0.222
1751,17.8,0.254
1752,12.5,0.206
1753,13.8,0.209
1754,14.6,0.218
1755,14.8,0.202
1756,12,0.229
1757,12.9,0.282
1758,23,0.274
1759,15.8,0.2
1760,16.4,0.213
1761,19.9,0.196
1762,16.4,0.18
1763,20.9,0.237
1764,16.1,0.201
1765,11.8,0.24
1766,19.9,0.227
1767,12.9,0.23
1768,18.6,0.168
1769,21.7,0.138
1770,14.1,0.219
1771,19.6,0.288
1772,23.3,0.16
1773,17,0.198
1774,24.1,0.31
1775,11.8,0.189
1776,11.5,0.145
1777,16.2,0.184
1778,10.6,0.217
1779,21.5,0.223
1780,17.8,0.238
1781,16,0.287
1782,19.3,0.252
1783,12.7,0.292
1784,16.8,0.244
1785,14,0.19
1786,17.6,0.232
1787,14.2,0.237
1788,15.1,0.22
1789,14.1,0.222
1790,12.2,0.144
1791,21,0.192
1792,13.5,0.22
1793,27.4,0.127
1794,15.1,0.129
1795,13.7,0.227
1796,7.4,0.188
1797,11.7,0.211
1798,21.7,0.19
1799,11.6,0.2
1800,8.9,0.339
1801,16.9,0.227
1802,17.8,0.291
1803,14.5,0.267
1804,10.8,0.242
1805,14.2,0.236
1806,13.2,0.208
1807,13.7,0.23
1808,13,0.25
1809,13.8,0.231
1810,11,0.207
1811,15.6,0.249
1812,13.8,0.195
1813,12.5,0.209
1814,13.1,0.203
1815,11.5,0.227
1816,13.6,0.253
1817,21.1,0.164
1818,27.5,0.154
1819,20.4,0.286
1820,6.6,0.16
1821,11,0.212
1822,15.5,0.227
1823,27,0.12
1824,0,0.074
1825,13.3,0.247
1826,13,0.2
1827,10.9,0.201
1828,10.9,0.226
1829,15,0.266
1830,17.6,0.202
1831,16.4,0.246
1832,10.4,0.238
1833,15.7,0.213
1834,12.4,0.216
1835,16.8,0.254
1836,16.5,0.228
1837,12.1,0.208
1838,12,0.22
1839,15.4,0.24
1840,20.8,0.251
1841,14.3,0.175
1842,24.7,0.168
1843,10.5,0.208
1844,22.7,0.177
1845,16,0.154
1846,9.6,0.168
1847,13,0.18
1848,19.4,0.273
1849,15.1,0.284
1850,18.6,0.243
1851,13.2,0.2
1852,12.3,0.212
1853,12.8,0.248
1854,11.5,0.224
1855,19.1,0.252
1856,14.8,0.237
1857,16.9,0.235
1858,17.6,0.251
1859,10.3,0.185
1860,12.1,0.292
1861,13.4,0.234
1862,12.2,0.209
1863,15,0.101
1864,15.7,0.196
1865,16.5,0.225
1866,18.5,0.243
1867,18.2,0.216
1868,16.6,0.208
1869,15.8,0.24
1870,11.8,0.203
1871,22.2,0.14
1872,14,0.255
1873,17.2,0.227
1874,23.2,0.227
1875,15.7,0.142
1876,17.9,0.196
1877,14.2,0.262
1878,12.5,0.199
1879,19.1,0.13
1880,24,0.191
1881,18.2,0.213
1882,16.5,0.239
1883,15.7,0.199
1884,15.7,0.233
1885,15.8,0.218
1886,13.9,0.2
1887,15,0.227
1888,14.8,0.24
1889,11,0.239
1890,21,0.262
1891,11.3,0.171
1892,12.4,0.253
1893,12.2,0.236
1894,11,0.249
1895,21.7,0.111
1896,21,0.223
1897,16.9,0.243
1898,16.7,0.206
1899,15.1,0.2
1900,10.9,0.275
1901,16.7,0.222
1902,14.4,0.202
1903,15.7,0.068
1904,17.6,0.167
1905,18.1,0.23
1906,17.3,0.12
1907,16.9,0.172
1908,16.9,0.242
1909,16.1,0.17
1910,11.6,0.2
1911,20.4,0.189
1912,25,0.149
1913,16.6,0.238
1914,26.8,0.241
1915,16.7,0.265
1916,11.6,0.253
1917,12.6,0.175
1918,16.7,0.216
1919,21.7,0.211
1920,19,0.269
1921,20.1,0.168
1922,18.7,0.203
1923,16.6,0.223
1924,15.1,0.25
1925,12.1,0.229
1926,9.4,0.229
1927,17.7,0.099
1928,29.1,0.206
1929,18.1,0.221
1930,16.4,0.195
1931,16.3,0.169
1932,14,0.227
1933,13.5,0.249
1934,12.4,0.183
1935,25.5,0.215
1936,12.9,0.226
1937,20.3,0.204
1938,24,0.164
1939,12.5,0.156
1940,5.7,0.187
1941,16.5,0.131
1942,21,0.129
1943,21.7,0.128
1944,0,0.126
1945,17.8,0.236
1946,14,0.187
1947,12.5,0.223
1948,16,0.208
1949,16.1,0.243
1950,13.9,0.203
1951,19,0.27
1952,17.6,0.212
1953,13.9,0.16
1954,14,0.325
1955,11.9,0.211
1956,15.4,0.138
1957,13.1,0.234
1958,15.1,0.155
1959,20.8,0.224
1960,17.2,0.188
1961,14.6,0.253
1962,12.3,0.229
1963,12.9,0.25
1964,9.9,0.254
1965,15.9,0.24
1966,10,0.266
1967,17.1,0.234
1968,12.4,0.284
1969,23,0.298
1970,17.7,0.164
1971,22,0.177
1972,12.3,0.161
1973,14.5,0.208
1974,14.7,0.183
1975,23.9,0.198
1976,17,0.212
1977,14.4,0.24
1978,14.6,0.233
1979,12.9,0.224
1980,11.7,0.24
1981,10.3,0.242
1982,12.4,0.22
1983,12.5,0.264
1984,11.9,0.284
1985,16.8,0.191
1986,21.5,0.174
1987,11.8,0.185
1988,16.6,0.207
1989,14.3,0.237
1990,17.3,0.225
1991,22,0.207
1992,13.8,0.195
1993,12.4,0.259
1994,21.4,0.256
1995,13.7,0.246
1996,15.8,0.183
1997,15.3,0.175
1998,12.4,0.206
1999,24.5,0.204
2000,19.4,0.246
2001,13.6,0.181
2002,32,0.24
2003,5.5,0.179
2004,7.6,0.147
2005,12.2,0.197
2006,13.3,0.299
2007,12.4,0.235
2008,15.9,0.188
2009,8.9,0.243
2010,13.2,0.237
2011,12.3,0.269
2012,9.9,0.2
2013,11.3,0.217
2014,11.8,0.218
2015,13.2,0.226
2016,13,0.205
2017,13.3,0.218
2018,16.5,0.172
2019,22.4,0.212
2020,12.2,0.179
2021,16.1,0.241
2022,13.4,0.177
2023,15.7,0.084
2024,20.6,0.203
2025,18.7,0.255
2026,22.8,0.212
2027,15.2,0.202
2028,22.1,0.195
2029,21.8,0.15
2030,14.1,0.22
2031,23,0.205
2032,22.3,0.216
2033,13,0.201
2034,18.6,0.165
2035,16,0.165
2036,13.4,0.264
2037,20.2,0.181
2038,12.1,0.232
2039,13.7,0.1
2040,31.6,0.158
2041,13.4,0.221
2042,10.5,0.214
2043,11.5,0.189
2044,13.3,0.241
2045,11.1,0.264
2046,11,0.181
2047,10.2,0.08
2048,16.4,0.234
2049,14.1,0.191
2050,16.4,0.194
2051,21.6,0.28
2052,17.3,0.229
2053,18.2,0.194
2054,14.9,0.189
2055,21,0.184
2056,11.8,0.215
2057,21.2,0.195
2058,17.3,0.167
2059,18.1,0.244
2060,14.4,0.228
2061,17.2,0.245
2062,15.1,0.237
2063,18.1,0.077
2064,21.7,0.189
2065,0,0.29
2066,12.2,0.296
2067,25.5,0.195
2068,18.8,0.18
2069,22.9,0.203
2070,20.9,0.221
2071,17.3,0.205
2072,12.6,0.25
2073,14.1,0.24
2074,15.7,0.237
2075,20.2,0.263
2076,15.9,0.204
2077,16.8,0.235
2078,18.4,0.193
2079,15.7,0.195
2080,10.7,0.228
2081,14.8,0.25
2082,21.7,0.152
2083,17,0.216
2084,20.2,0.255
2085,17.1,0.178
2086,10.1,0.262
2087,29.3,0.121
2088,23.5,0.151
2089,16.3,0.211
2090,16.5,0.218
2091,20.8,0.234
2092,16.4,0.206
2093,25.5,0.205
2094,15,0.157
2095,26.5,0.222
2096,19.7,0.216
2097,12.4,0.263
2098,16.5,0.178
2099,15.1,0.252
2100,17.1,0.213
2101,12.3,0.204
2102,21.9,0.175
2103,12.5,0.211
2104,20.4,0.237
2105,15.3,0.256
2106,22.3,0.217
2107,14.8,0.318
2108,13.5,0.106
2109,12,0.184
2110,16.2,0.185
2111,20.3,0.197
2112,9.9,0.308
2113,18.9,0.227
2114,20.2,0.266
2115,12.1,0.205
2116,12.4,0.197
2117,11,0.217
2118,8.8,0.243
2119,20.8,0.109
2120,19.4,0.207
2121,16.7,0.204
2122,21.7,0.193
2123,15.3,0.23
2124,15,0.155
2125,13.2,0.201
2126,7.2,0.213
2127,23.1,0.09
2128,27,0.171
2129,15.8,0.245
2130,17.8,0.253
2131,13.5,0.26
2132,10.2,0.244
2133,14.7,0.205
2134,23.1,0.237
2135,13.7,0.234
2136,18.9,0.237
2137,13.6,0.238
2138,26.9,0.257
2139,14.9,0.214
2140,22.7,0.209
2141,17,0.2
2142,13.6,0.262
2143,20.7,0.093
2144,18.8,0.223
2145,14.7,0.209
2146,25.9,0.228
2147,17.8,0.22
2148,21.5,0.191
2149,18.3,0.144
2150,20.9,0.23
2151,17.1,0.203
2152,22,0.198
2153,18,0.203
2154,19.2,0.188
2155,15.1,0.206
2156,15.8,0.235
2157,18.9,0.228
2158,23.1,0.25
2159,13,0.249
2160,15.2,0.216
2161,12.1,0.255
2162,16.7,0.225
2163,11.5,0.168
2164,20,0.176
2165,20.3,0.223
2166,20.3,0.234
2167,15.5,0.216
2168,16.4,0.19
2169,26.8,0.131
2170,30.2,0.162
2171,18.2,0.142
2172,7,0.097
2173,15.8,0.176
2174,23.6,0.199
2175,16.1,0.271
2176,7.1,0.171
2177,13.5,0.217
2178,13.5,0.219
2179,11.6,0.21
2180,15.4,0.208
2181,11.5,0.204
2182,18.5,0.207
2183,7.9,0.348
2184,7.9,0.219
2185,12.8,0.242
2186,26.9,0.242
2187,19.7,0.243
2188,12.3,0.198
2189,15.8,0.247
2190,22,0.251
2191,14.9,0.246
2192,15.3,0.249
2193,13.9,0.271
2194,18.3,0.258
2195,16,0.261
2196,12.9,0.21
2197,11.7,0.265
2198,20.3,0.225
2199,11.9,0.215
2200,10.2,0.242
2201,24.5,0.253
2202,18.9,0.245
2203,31.1,0.218
2204,12.8,0.23
2205,18.1,0.198
2206,14.5,0.15
2207,23.1,0.172
2208,21,0.188
2209,11.8,0.187
2210,19.5,0.165
2211,9.4,0.173
2212,8.4,0.131
2213,18,0.195
2214,13.5,0.173
2215,24.7,0.134
2216,11.8,0.214
2217,12.9,0.22
2218,22.4,0.261
2219,16.5,0.233
2220,12.5,0.292
2221,17.4,0.314
2222,19.1,0.217
2223,15,0.191
2224,14,0.231
2225,12,0.211
2226,15.1,0.237
2227,16.3,0.245
2228,9.7,0.224
2229,16.1,0.224
2230,15,0.15
2231,15,0.169
2232,10,0.206
2233,16,0.231
2234,23.6,0.209
2235,11.3,0.103
2236,8,0.256
2237,21.3,0.144
2238,18.6,0.221
2239,9.3,0.152
2240,12.1,0.274
2241,16,0.217
2242,22.3,0.274
2243,17.4,0.249
2244,14.2,0.204
2245,18.9,0.249
2246,16.8,0.172
2247,16.1,0.217
2248,13.2,0.203
2249,15.3,0.202
2250,25.7,0.211
2251,15.8,0.179
2252,21.3,0.144
2253,31.6,0.148
2254,10.6,0.137
2255,15.3,0.159
2256,9.8,0.202
2257,14,0.282
2258,16.4,0.244
2259,13.5,0.231
2260,11.1,0.199
2261,15,0.261
2262,12.2,0.208
2263,14,0.215
2264,12.3,0.25
2265,12.8,0.241
2266,17.7,0.247
2267,12.4,0.214
2268,15.8,0.171
2269,15.8,0.281
2270,15.5,0.191
2271,15.5,0.187
2272,13.2,0.195
2273,13.9,0.158
2274,22.7,0.299
2275,14.3,0.187
2276,15,0.277
2277,13.1,0.195
2278,14.9,0.215
2279,16.5,0.182
2280,21.6,0.266
2281,27.6,0.195
2282,28.2,0.271
2283,13.3,0.143
2284,8.5,0.185
2285,8,0.196
2286,16,0.209
2287,29.6,0.177
2288,23.8,0.167
2289,14.8,0.194
2290,17.1,0.304
2291,14.3,0.239
2292,12.4,0.262
2293,12.4,0.181
2294,12,0.237
2295,12.1,0.218
2296,16.2,0.238
2297,14.6,0.225
2298,17.2,0.221
2299,12.2,0.228
2300,11.1,0.228
2301,12.4,0.24
2302,16.1,0.167
2303,12,0.18
2304,20.9,0.232
2305,21.9,0.277
2306,21.2,0.247
2307,15.2,0.203
2308,14.8,0.175
2309,15.5,0.202
2310,25.4,0.293
2311,16.4,0.228
2312,15.3,0.227
2313,15.7,0.271
2314,15.8,0.201
2315,14.4,0.105
2316,13,0.218
2317,18.8,0.296
2318,23.1,0.231
2319,11.9,0.189
2320,16.4,0.161
2321,13.9,0.262
2322,22.1,0.23
2323,14.9,0.204
2324,13.5,0.162
2325,17.9,0.212
2326,22.9,0.293
2327,12.9,0.197
2328,13.7,0.244
2329,14.5,0.254
2330,22.6,0.231
2331,17.8,0.262
2332,16.9,0.238
2333,15.1,0.152
2334,18,0.211
2335,13.1,0.216
2336,20.7,0.231
2337,10.7,0.145
2338,28.3,0.192
2339,20,0.238
2340,20.4,0.254
2341,11.9,0.263
2342,32.3,0.116
2343,19.6,0.169
2344,15.8,0.305
2345,12.9,0.209
2346,22.2,0.258
2347,16.3,0.25
2348,12.7,0.293
2349,11.4,0.196
2350,16.8,0.24
2351,12.7,0.204
2352,21.1,0.272
2353,15.7,0.228
2354,17.5,0.19
2355,13.8,0.227
2356,13.6,0.205
2357,10.1,0.193
2358,15.6,0.184
2359,12.5,0.164
2360,14.3,0.27
2361,14.4,0.219
2362,23.4,0.308
2363,16.8,0.252
2364,11.9,0.252
2365,13.9,0.208
2366,21.9,0.176
2367,13.8,0.197
2368,20.3,0.234
2369,12,0.173
2370,17.3,0.256
2371,13.2,0.131
2372,14.4,0.235
2373,12.5,0.148
2374,14,0.22
2375,11.3,0.159
2376,11.2,0.244
2377,11.9,0.204
2378,23.9,0.269
2379,13.7,0.232
2380,14.2,0.211
2381,14.2,0.191
2382,15.3,0.233
2383,14.3,0.198
2384,17.8,0.26
